"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.761039733887","97.1599426269531","88.6956481933594","89.8044662475586","92.2973022460938","92.8104629516602","87.8826522827148","94.5362091064453","93.3588790893555","92.2779922485352","98.4334182739258","91.7880783081055","","","92.0377883911133","100.818550109863","","","","","","",
"Afghanistan","AFG","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","28.5410900115967","","","29.8050899505615","32.4492301940918","","42.9889297485352","51.7044982910156","","","24.642219543457","25.8327598571777","","","","","","","","39.9001197814941","","","","","","","","","","","","","","","","","","","","","","","96.5420913696289","101.294212341309","103.283256530762","","",
"Angola","AGO","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.8264999389648","43.2860794067383","45.7797889709473","59.0089683532715","","","","","","","","","",
"Albania","ALB","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.9824371337891","","","","95.7117233276367","95.5914535522461","","93.6255722045898","92.7242126464844","","","95.028450012207","92.0022125244141","90.6784591674805","89.0428695678711","91.742431640625","97.848991394043","90.2941284179688","98.5813980102539","97.5388793945313","97.7903900146484","100.562423706055","98.8586807250977","102.29239654541","",
"Andorra","AND","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","60.7372207641602","60.6661109924316","60.156551361084","61.834171295166","63.3444519042969","67.0038528442383","68.5365524291992","70.8920974731445","70.6323165893555","64.9031829833984","67.0095291137695","70.6254425048828","70.7111511230469","71.5051574707031","73.8049468994141","78.0938873291016","76.4704132080078","75.8880767822266","76.0009994506836","75.9555587768555","77.0686569213867","76.6463165283203","77.2023086547852","77.1766204833984","77.7674102783203","78.4808883666992","79.2241973876953","79.7979583740234","80.5061874389648","81.0138702392578","80.2368621826172","81.0728302001953","81.4804000854492","83.9737091064453","85.6375122070313","86.9507217407227","84.6459121704102","86.436653137207","88.8107299804688","86.3015594482422","87.7831802368164","88.1873931884766","89.7580871582031","87.3785171508789","88.4002685546875","86.978759765625","86.4639663696289","86.1367568969727","86.4944305419922","87.4828720092773","",
"United Arab Emirates","ARE","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","44.959041595459","42.1095695495605","53.0510902404785","59.790210723877","64.408821105957","68.2143478393555","68.6652221679688","73.396598815918","85.4838714599609","83.7154769897461","78.7579193115234","75.7781295776367","74.6853637695313","74.4392395019531","73.7917098999023","82.7853012084961","93.0118026733398","99.4971923828125","96.9579620361328","93.5505828857422","91.5074310302734","89.4654235839844","85.1855163574219","87.1599884033203","84.1235504150391","81.854362487793","78.5952682495117","74.786018371582","81.668571472168","","","","","96.3190231323242","","","","","93.7036972045898","94.1602630615234","97.6212463378906","102.674873352051","","","","","",
"Argentina","ARG","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","67.8103408813477","69.0261001586914","","","","76.6223831176758","76.2649536132813","","","","","","","","","","","","","","","","","","","","91.6290130615234","89.8430099487305","97.7288513183594","96.8948822021484","97.2243118286133","96.5553512573242","100.190971374512","97.9871368408203","96.4342498779297","94.4775314331055","97.0572891235352","99.7804489135742","103.185043334961","103.490852355957","103.974937438965","104.10961151123","103.697929382324","102.098426818848","103.604461669922","103.452690124512","103.467811584473","100.222793579102","","","",
"Armenia","ARM","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.3463134765625","88.8423309326172","100.865249633789","92.1865310668945","92.7588195800781","100.8046875","104.895278930664","","92.8062591552734","92.3363571166992","92.3035125732422","","96.7685394287109","93.5767974853516","89.957160949707","91.5109405517578","90.1930465698242","93.2640762329102","",
"American Samoa","ASM","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","76.7756500244141","80.5681762695313","","","","","","","","","","","","","","","","89.6825408935547","","","","","","","","","","","","","","","","111.096076965332","101.593627929688","108.355087280273","109.162300109863","","","120.391059875488","94.0509872436523","","99.7126388549805","93.4971084594727","","",
"Australia","AUS","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","94.3096389770508","96.0986785888672","96.2257614135742","","","","","","","","","","","","","","","","","","","","","","","","","101.084053039551","100.620399475098","","","100.57691192627","","99.1699676513672","","","","","","","97.3109664916992","96.1972274780273","98.1301803588867","98.3892974853516","100.790382385254","99.7115783691406","98.8947830200195","99.8118133544922","","",
"Azerbaijan","AZE","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.763671875","96.2630386352539","88.0315322875977","79.0786895751953","101.603370666504","96.26806640625","92.554557800293","93.7652435302734","96.3216094970703","94.5982131958008","95.0953521728516","96.2864227294922","97.2518920898438","92.2177429199219","97.8045806884766","91.6603775024414","92.0753326416016","89.9870834350586","93.3493804931641","92.3395309448242","89.4396133422852","98.5741806030273","104.736999511719","112.694541931152","106.782562255859","99.8573837280273","100.392021179199","",
"Burundi","BDI","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","8.56571960449219","","14.9491195678711","14.5356397628784","15.3040504455566","14.0431604385376","14.5048599243164","14.2836198806763","14.2133197784424","14.4446697235107","14.8998699188232","17.6978893280029","24.1743106842041","33.2686309814453","35.221321105957","35.9152908325195","35.7562713623047","48.5037498474121","39.7568016052246","48.6408805847168","49.1584815979004","55.4273681640625","58.762149810791","","","","","","","26.5637092590332","27.4697494506836","28.1213397979736","34.0028686523438","37.8699417114258","38.309871673584","","41.9326515197754","44.6613082885742","50.0250205993652","52.7230415344238","56.3480110168457","61.4467811584473","67.3002471923828","64.8394470214844","59.5925216674805","62.2644004821777","63.2476081848145","58.1740112304688","54.2969398498535","",
"Belgium","BEL","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","66.8276214599609","68.9251098632813","69.8050308227539","70.9286804199219","74.5488433837891","66.6881103515625","66.198112487793","72.3756484985352","73.3340835571289","68.9520568847656","72.4376373291016","70.9056167602539","69.7809371948242","69.0811996459961","70.7221984863281","","","76.1388626098633","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","26.4406108856201","30.6540699005127","31.2337207794189","29.8465099334717","37.3768692016602","35.8997611999512","35.4159698486328","37.7968711853027","38.9860992431641","40.2020606994629","43.8405303955078","45.768440246582","52.558048248291","41.2681999206543","47.3008308410645","43.0733413696289","41.5642204284668","37.8680000305176","37.3169403076172","26.1173000335693","29.0717105865479","29.6735496520996","32.6042900085449","35.0774917602539","40.8911590576172","44.2403106689453","47.2968292236328","50.8065986633301","","49.3707504272461","54.0693206787109","56.6300582885742","60.7933311462402","63.0627593994141","","","","73.5932998657227","","75.0115585327148","79.1028594970703","80.3495330810547","85.4763412475586","85.2033462524414","86.0414886474609","85.3337326049805","","","67.6304092407227","",
"Burkina Faso","BFA","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","9.57332038879395","8.91753959655762","9.09232997894287","8.52513980865479","9.64447975158691","9.59836006164551","10.6987104415894","11.0645399093628","12.1841201782227","11.8543996810913","13.2241201400757","13.4884099960327","14.3279495239258","15.0608797073364","17.6069507598877","","19.9490509033203","21.2886695861816","20.8801593780518","24.6076393127441","24.6335506439209","31.512659072876","32.8210296630859","33.5381011962891","21.8042106628418","26.9651393890381","","","27.5995903015137","29.837230682373","31.5882091522217","31.9935493469238","33.2982788085938","34.5619888305664","35.8761100769043","36.616569519043","39.1280899047852","43.2808799743652","47.2689590454102","49.896369934082","","58.6516914367676","62.1821212768555","59.0568084716797","60.5611991882324","59.4701690673828","60.7889785766602","62.6022109985352","60.9685401916504","",
"Bangladesh","BGD","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","58.899600982666","","","","","35.5138893127441","","","","","","","","","","","","","","","","","","","","","","","","63.8693199157715","","","56.1707000732422","62.5326614379883","64.0539474487305","","","","","","","","","","",
"Bulgaria","BGR","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","98.4826431274414","103.248268127441","102.168701171875","100.773361206055","99.1191329956055","87.3245468139648","87.7441787719727","86.0822525024414","88.0899505615234","87.9959030151367","90.2942428588867","94.6923828125","94.5416870117188","97.2443771362305","96.6048431396484","102.860488891602","97.2422790527344","98.879768371582","99.1052322387695","98.296989440918","99.2176513671875","101.754890441895","96.1719818115234","101.49796295166","112.93383026123","110.387786865234","102.321029663086","99.6252822875977","98.2289199829102","96.5857620239258","92.3151321411133","90.470458984375","87.074577331543","","",
"Bahrain","BHR","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","103.796760559082","95.103157043457","93.3919525146484","97.7185287475586","92.0009994506836","91.9046401977539","99.4425582885742","102.86646270752","","101.122627258301","100.866439819336","100.447883605957","92.7992324829102","91.2947692871094","90.1274490356445","","93.1349334716797","101.53929901123","98.381706237793","94.6576232910156","100.158882141113","99.9692687988281","98.9885482788086","98.7845001220703","","","","","","87.1939468383789","92.8684768676758","95.9623107910156","96.9638977050781","97.3521270751953","96.2837066650391","98.5703277587891","96.5158309936523","103.175819396973","",
"Bahamas, The","BHS","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.1204833984375","","","","","","101.66667175293","98.1859436035156","98.6331787109375","92.0415191650391","89.8623275756836","82.1328277587891","88.0434799194336","90.7988815307617","79.4191131591797","80.0565338134766","83.417236328125","77.5266799926758","","78.0740280151367","","",
"Bosnia and Herzegovina","BIH","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.8140716552734","99.8412704467773","98.0994720458984","96.9873123168945","97.7667083740234","","99.2882919311523","102.449600219727","107.089752197266","133.167404174805","103.107002258301","104.436180114746","101.217437744141","99.3288116455078","97.1416702270508","99.3205871582031","","","108.363739013672","104.292961120605","100.424240112305","98.5842514038086","96.9912261962891","96.1815490722656","101.893669128418","104.592277526855","","",
"Belize","BLZ","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.2726211547852","","","88.8966217041016","96.2707214355469","","","99.8299331665039","102.64900970459","99.6183166503906","","95.3745193481445","97.6730728149414","99.0362777709961","98.924430847168","96.6316375732422","94.3046417236328","98.1685028076172","103.189826965332","103.294723510742","107.121063232422","101.815887451172","103.365989685059","104.88542175293","104.979667663574","102.787010192871","104.818351745605","102.620651245117","",
"Bermuda","BMU","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","67.1096267700195","","","","","","","","","","","","","","","","","","","","","","","","","","96.3553466796875","97.0251693725586","93.5632171630859","","","","","","","","102.564102172852","104.712043762207","98.9333267211914","","","","","","","",
"Bolivia","BOL","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.9733276367188","96.5773162841797","96.9919281005859","94.0180892944336","90.5778503417969","89.3401870727539","90.2176666259766","92.1662292480469","95.4334030151367","","",
"Brazil","BRA","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.16796875","100.342132568359","106.268218994141","103.074668884277","106.231597900391","100.148147583008","90.818359375","97.1659927368164","92.268310546875","93.5950393676758","93.9252319335938","93.1677017211914","97.3401489257813","","","","","","","87.6159286499023","88.6528778076172","",
"Brunei Darussalam","BRN","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","107.088333129883","107.086196899414","110.664611816406","102.027366638184","113.49324798584","105.691848754883","96.8085098266602","102.040817260742","92.4311904907227","89.87451171875","84.1086883544922","80.0157012939453","60.2486801147461","","116.451019287109","","","","","","","","","","","109.296401977539","118.325088500977","121.133087158203","119.466430664063","130.0322265625","123.723899841309","125.568832397461","112.290496826172","104.286109924316","107.380493164063","107.531959533691","105.424659729004","102.078826904297","106.105430603027","111.618370056152","107.604766845703","106.360816955566","100.085891723633","101.140350341797","","108.41236114502","107.603248596191","98.9233703613281","",
"Bhutan","BTN","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","12.8265495300293","13.9678602218628","","","","","","","","","","","","","","27.4556903839111","31.2257099151611","","","","51.0217895507813","54.1393814086914","54.5385093688965","54.7231292724609","","","","","70.8868637084961","","75.3467788696289","77.07373046875","81.6952667236328","86.3191299438477","96.9916687011719","94.4959106445313","90.6552429199219","","95.4997177124023","95.7190093994141","","","",
"Botswana","BWA","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","42.0227890014648","45.9662284851074","52.5517616271973","","","","","","","53.7935905456543","","69.5404281616211","73.1467819213867","66.2565994262695","71.4936218261719","75.0875396728516","85.3050918579102","87.6241989135742","85.9815521240234","81.9759368896484","86.1624526977539","87.6767807006836","89.1969909667969","89.0341262817383","92.8533477783203","90.5580673217773","93.2033462524414","","95.9767303466797","93.5697631835938","94.3925704956055","96.0131072998047","97.534049987793","96.8359527587891","95.9575500488281","93.785758972168","98.1814804077148","96.1400680541992","97.5988311767578","100.274749755859","","","99.4581832885742","98.9731674194336","","","","","","","",
"Central African Republic","CAF","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","44.2101707458496","39.0492515563965","49.1615180969238","42.7544708251953","55.4964599609375","43.6245307922363","","62.0665702819824","","","42.858211517334","42.6915817260742","38.5212097167969","","","49.7770004272461","37.504451751709","38.7716407775879","39.4971199035645","43.53955078125","38.0974388122559","30.7441596984863","","","","","","","","","","","","30.1433296203613","32.6986808776855","32.0058898925781","","43.6068115234375","45.9341697692871","49.4283485412598","50.173168182373","52.0269889831543","","","","48.8770217895508","","","","",
"Canada","CAN","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.3128967285156","95.743896484375","97.7475509643555","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.1555633544922","92.8521118164063","90.520622253418","90.8123626708984","91.300910949707","91.7967300415039","92.5821380615234","94.8888168334961","96.7812271118164","96.247917175293","95.8459091186523","95.7469024658203","97.354850769043","96.8177337646484","97.8826522827148","98.6773681640625","97.6750717163086","96.4466934204102","95.9558029174805","95.0540008544922","95.7464294433594","97.3563690185547","98.0376129150391","97.1436614990234","97.5394668579102","97.2754135131836","97.919563293457","97.0167617797852","98.2310333251953","93.0778427124023","93.1100616455078","",
"Switzerland","CHE","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","53.0608291625977","60.4803695678711","58.0081596374512","56.8422508239746","51.3240699768066","51.3352813720703","51.547908782959","50.4094886779785","50.667179107666","49.5623512268066","48.8618812561035","48.0105018615723","49.2078018188477","51.0555610656738","53.5028915405273","54.7538414001465","61.9760513305664","62.9999504089355","","73.0447616577148","","","94.040771484375","94.98486328125","97.0476379394531","96.9589309692383","96.8846130371094","97.9686965942383","95.6520767211914","92.6440734863281","92.2706298828125","93.4407424926758","94.4871292114258","94.6448822021484","95.4890899658203","96.1207962036133","96.3386993408203","94.8442306518555","94.5887985229492","96.0268325805664","95.6629333496094","95.6733703613281","","",
"Channel Islands","CHI","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","78.6213226318359","85.7817001342773","90.1148071289063","90.6417465209961","88.9641876220703","89.4740524291992","91.8051528930664","90.0650787353516","","","","","","97.5883331298828","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.6101379394531","98.7275009155273","99.1061172485352","98.9018402099609","97.1112594604492","96.0281600952148","95.3555374145508","96.7167587280273","","",
"China","CHN","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.1013412475586","92.8710708618164","","","","","","","","","91.8222732543945","93.6427536010742","99.7163467407227","98.8539276123047","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","54.5451812744141","55.0899505615234","","63.9856605529785","67.9472579956055","67.9272079467773","70.6159133911133","73.2918395996094","77.1786270141602","","73.7543716430664","71.6529769897461","59.2882690429688","61.6331481933594","59.6656303405762","60.8162117004395","55.3492012023926","53.1364707946777","59.145938873291","52.857608795166","54.0771713256836","52.8785018920898","51.0025100708008","52.5660781860352","49.4759902954102","48.0761413574219","","53.1391906738281","59.4844284057617","","","","","54.3380317687988","53.308479309082","","53.7780609130859","","59.2430000305176","62.4792518615723","59.8746109008789","61.5160903930664","66.5454406738281","69.9254531860352","78.4942321777344","79.8310623168945","82.3405685424805","",
"Cameroon","CMR","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","57.6735801696777","56.5850410461426","58.7077293395996","59.9806518554688","60.402660369873","71.7586517333984","60.3135795593262","57.5196418762207","57.3772888183594","55.8061485290527","55.5823516845703","57.2444114685059","58.5700492858887","58.7360191345215","60.1866683959961","60.6078987121582","","58.2514686584473","58.9395713806152","","","","","","","","52.6811714172363","52.9184303283691","","","60.9481811523438","63.7159385681152","","54.9367294311523","59.1115989685059","75.8200607299805","75.5078582763672","77.3167114257813","76.1308364868164","79.4800872802734","","77.1685791015625","78.1202774047852","77.2880935668945","71.6871185302734","67.6790466308594","68.5851821899414","",
"Congo, Dem. Rep.","COD","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","61.7393913269043","64.07421875","","","","73.1629180908203","75.3692779541016","78.9744720458984","","76.6683197021484","77.7417984008789","80.8723526000977","82.0136108398438","82.8671798706055","","","","64.1464385986328","","","65.6423034667969","61.0561981201172","66.9468536376953","57.5112113952637","","","","","37.489200592041","","","51.0521202087402","","","","","66.0117568969727","71.2482528686523","74.3501129150391","72.4696197509766","76.1125030517578","81.104118347168","76.7868499755859","","69.494270324707","","","","","",
